NRC,Materia,Días,Hora_ini ,Hora_fin,Profesor,Salón
40713,Ingenieria Bioquimica,L,11:00 a. m.,12:59 p. m.,SANTACRUZ - VAZQUEZ CLAUDIA,1FIQ7/203
40713,Ingenieria Bioquimica,A,11:00 a. m.,12:59 p. m.,SANTACRUZ - VAZQUEZ CLAUDIA,1FIQ7/203
40713,Ingenieria Bioquimica,M,11:00 a. m.,12:59 p. m.,SANTACRUZ - VAZQUEZ CLAUDIA,1FIQ7/203
40713,Ingenieria Bioquimica,J,11:00 a. m.,12:59 p. m.,SANTACRUZ - VAZQUEZ CLAUDIA,1FIQ7/203
40565,Ingenieria Economica,V,03:00 p. m.,03:59 p. m.,GUTIERREZ - ORTIZ ITA-YETZY,1FIQ1/305
40565,Ingenieria Economica,L,03:00 p. m.,04:59 p. m.,GUTIERREZ - ORTIZ ITA-YETZY,1FIQ1/305
40565,Ingenieria Economica,A,03:00 p. m.,04:59 p. m.,GUTIERREZ - ORTIZ ITA-YETZY,1FIQ1/305
40565,Ingenieria Economica,M,03:00 p. m.,04:59 p. m.,GUTIERREZ - ORTIZ ITA-YETZY,1FIQ1/305
40565,Ingenieria Economica,J,03:00 p. m.,04:59 p. m.,GUTIERREZ - ORTIZ ITA-YETZY,1FIQ1/305
40568,Ingenieria Economica,V,05:00 p. m.,05:59 p. m.,GARCIA - CUEVAS JOSE BLAS MARTIN,1FIQ1/306
40568,Ingenieria Economica,L,05:00 p. m.,06:59 p. m.,GARCIA - CUEVAS JOSE BLAS MARTIN,1FIQ1/306
40568,Ingenieria Economica,A,05:00 p. m.,06:59 p. m.,GARCIA - CUEVAS JOSE BLAS MARTIN,1FIQ1/306
40568,Ingenieria Economica,M,05:00 p. m.,06:59 p. m.,GARCIA - CUEVAS JOSE BLAS MARTIN,1FIQ1/306
40568,Ingenieria Economica,J,05:00 p. m.,06:59 p. m.,GARCIA - CUEVAS JOSE BLAS MARTIN,1FIQ1/306
40610,Ingenieria Economica,V,02:00 p. m.,02:59 p. m.,ROMERO - TORRES LAURA MARGARITA,1FIQ2/202
40610,Ingenieria Economica,L,01:00 p. m.,02:59 p. m.,ROMERO - TORRES LAURA MARGARITA,1FIQ2/202
40610,Ingenieria Economica,A,01:00 p. m.,02:59 p. m.,ROMERO - TORRES LAURA MARGARITA,1FIQ2/202
40610,Ingenieria Economica,M,01:00 p. m.,02:59 p. m.,ROMERO - TORRES LAURA MARGARITA,1FIQ2/202
40610,Ingenieria Economica,J,01:00 p. m.,02:59 p. m.,ROMERO - TORRES LAURA MARGARITA,1FIQ2/202
40670,Instrumentacion y Contr. Auto.,A,03:00 p. m.,04:59 p. m.,ARZOLA - FLORES JESUS ANDRES,1FIQ5/210
40670,Instrumentacion y Contr. Auto.,V,03:00 p. m.,04:59 p. m.,ARZOLA - FLORES JESUS ANDRES,1FIQ5/210
